designator,quantity,value,pack,mpn,mount_type
"H1, H2, H3, H4, H5, H6",6,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,,tht
"J1, J2, J3, J4",4,Conn_01x03_Socket_P123,CONN3_T4043014031-000_TEC,,tht
